"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\mouseWheelUp.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\pipeAlong.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\platform.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\rightView.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\stiffener.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\topView.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\towerPiping - Copy.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\towerPiping.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\trunnion.svg", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 3, 35
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\zoomAll.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\workers\clash-check-worker.js", "JavaScript", 0, 0, 0, 0, 0, 2246, 0, 0, 0, 1, 238, 2485
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\workers\three.js", "JavaScript", 0, 0, 0, 0, 0, 27096, 0, 0, 0, 3298, 19885, 50279
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\axisHelper.ts", "TypeScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 267
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\cables\CableComponent.tsx", "TypeScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 0, 76, 26, 263
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\cables\CablesContainer.tsx", "TypeScript JSX", 0, 0, 0, 165, 0, 0, 0, 0, 0, 20, 16, 201
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\cables\cablesUtils.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 36, 9, 127
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\common\commonUtils.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\designCodeAndParameters.ts", "TypeScript", 2919, 0, 0, 0, 0, 0, 0, 0, 0, 7, 125, 3051
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\designCodeAndParametersOF.ts", "TypeScript", 5531, 0, 0, 0, 0, 0, 0, 0, 0, 10, 224, 5765
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\factory-shed\FactoryShedComponent.tsx", "TypeScript JSX", 0, 0, 0, 176, 0, 0, 0, 0, 0, 6, 15, 197
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\factory-shed\FactoryShedsContainer.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\flare\FlareComponent.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\flare\FlareContainer.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\flare\FlareSegmentComponent.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 12, 93
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\freePipes.ts", "TypeScript", 1912, 0, 0, 0, 0, 0, 0, 0, 0, 77, 100, 2089
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\odss.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\odss\ODSSComponent.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\odss\ODSSContainer.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\open-frame\OpenFrameComponent.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 6, 16, 202
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\open-frame\OpenFramesContainer.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\openFrame.ts", "TypeScript", 5393, 0, 0, 0, 0, 0, 0, 0, 0, 110, 151, 5654
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-importing\toOpenFrame.ts", "TypeScript", 510, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27, 540
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-importing\toPipeRack.ts", "TypeScript", 532, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33, 577
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\src\components\3d-models\pipe-rack\PipeRackComponent.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 3, 14, 127
